Time		Case1		Case2		Case3		Case4
373		457423.2544248439		460409.5972803951		457400.3844092367		457400.3844092367
374		460432.46747896407		463418.81033451523		457400.3844092367		457400.3844092367
375		463342.13577123254		466428.0233886354		466428.0235752085		466428.0235752085
376		466351.34882535273		469437.2364427556		466428.0235752085		466428.0235752085
377		469360.5618794729		472446.44949687587		466428.0235752085		466428.0235752085
378		472369.7749335931		475455.66255099606		475455.66274118033		475455.66274118033
379		475378.9879877133		478464.87560511625		475455.66274118033		475455.66274118033
380		478288.6562799818		481474.08865923644		475455.66274118033		475455.66274118033
381		481297.86933410197		484483.3017133566		484483.3019071521		484483.3019071521
382		484307.08238822216		487492.5147674768		484483.3019071521		484483.3019071521
383		487316.29544234235		490501.727821597		484483.3019071521		484483.3019071521
384		490325.50849646254		493510.9408757172		493510.9410731239		493510.9410731239
385		493235.176788731		496520.1539298374		493510.9410731239		493510.9410731239
386		496244.3898428512		499529.3669839576		493510.9410731239		493510.9410731239
387		499253.6028969714		502538.5800380777		502538.58023909567		502538.58023909567
388		502262.8159510916		505547.7930921979		502538.58023909567		502538.58023909567
389		505272.0290052117		508557.0061463181		502538.58023909567		502538.58023909567
390		508181.69729748025		511566.21920043835		511566.21940506744		511566.21940506744
391		511190.91035160044		514575.43225455855		511566.21940506744		511566.21940506744
392		514200.12340572063		517584.64530867874		511566.21940506744		511566.21940506744
393		515623.6015494111		520593.8583627989		519393.8445888371		520593.85857103916
394		518439.20183434803		523603.0714169191		519393.8445888371		520593.85857103916
395		521348.8701266165		526612.2844710393		519393.8445888371		520593.85857103916
396		524358.0831807368		529621.4975251595		527842.150057398		529621.497737011
397		527367.2962348569		532630.7105792797		527842.150057398		529621.497737011
398		530376.5092889771		535639.9236333999		527842.150057398		529621.497737011
399		533385.7223430973		538649.1366875201		536869.7892233698		538649.1369029828
400		536295.390635366		541658.3497416403		536869.7892233698		538649.1369029828
401		539304.6036894862		544667.5627957605		536869.7892233698		538649.1369029828
402		542313.8167436064		547676.7758498807		545897.4283893416		547676.7760689546
403		545323.0297977265		550685.9889040008		545897.4283893416		547676.7760689546
404		548332.2428518467		553695.201958121		545897.4283893416		547676.7760689546
405		551241.9111441154		556704.4150122412		554925.0675553133		556704.4152349264
406		554251.1241982356		559713.6280663614		554925.0675553133		556704.4152349264
407		557260.3372523558		562722.8411204816		554925.0675553133		556704.4152349264
408		560269.550306476		565732.0541746018		561229.6698275226		565732.0544008982
409		561206.2581499483		568741.267228722		561229.6698275226		565732.0544008982
410		562629.7362936387		571750.4802828422		561229.6698275226		565732.0544008982
