Time		Case1		Case2		Case3		Case4
421		147870		140580		147870		140580
422		147870		140580		147870		140580
423		147870		140580		147870		140580
424		141390		140580		141390		140580
425		141390		140580		141390		140580
426		141390		140580		141390		140580
427		142470		140580		142470		140580
428		142470		140580		142470		140580
429		142470		140580		142470		140580
430		129510		140580		129510		140580
431		129510		140580		129510		140580
432		129510		140580		129510		140580
433		144360		140580		144360		140580
434		144360		140580		144360		140580
435		144360		140580		144360		140580
436		138150		140580		138150		140580
437		138150		140580		138150		140580
438		138150		140580		138150		140580
439		147870		140580		147870		140580
440		147870		140580		147870		140580
441		147870		140580		147870		140580
442		143820		142560		143820		142560
443		143820		142560		143820		142560
444		143820		142560		143820		142560
445		144900		142560		144900		142560
446		144900		142560		144900		142560
447		144900		142560		144900		142560
448		130590		142560		130590		142560
449		130590		142560		130590		142560
450		130590		142560		130590		142560
451		148140		142560		148140		142560
452		148140		142560		148140		142560
453		148140		142560		148140		142560
454		139230		142560		139230		142560
455		139230		142560		139230		142560
456		139230		142560		139230		142560
457		149220		142560		149220		142560
458		149220		142560		149220		142560
459		149220		142560		149220		142560
460		143820		142560		143820		142560
461		143820		142560		143820		142560
462		143820		142560		143820		142560
463		147060		145440		147060		145440
464		147060		145440		147060		145440
465		147060		145440		147060		145440
466		135450		145440		135450		145440
467		135450		145440		135450		145440
468		135450		145440		135450		145440
469		150300		145440		150300		145440
470		150300		145440		150300		145440
471		150300		145440		150300		145440
472		144090		145440		144090		145440
473		144090		145440		144090		145440
474		144090		145440		144090		145440
475		151380		145440		151380		145440
476		151380		145440		151380		145440
477		151380		145440		151380		145440
478		143820		145440		143820		145440
479		143820		145440		143820		145440
480		143820		145440		143820		145440
481		148410		145440		148410		145440
482		148410		145440		148410		145440
483		148410		145440		148410		145440
484		137610		148320		137610		148320
485		137610		148320		137610		148320
486		137610		148320		137610		148320
487		155160		148320		155160		148320
488		155160		148320		155160		148320
489		155160		148320		155160		148320
490		146250		148320		146250		148320
491		146250		148320		146250		148320
492		146250		148320		146250		148320
493		154890		148320		154890		148320
494		154890		148320		154890		148320
495		154890		148320		154890		148320
496		147330		148320		147330		148320
497		147330		148320		147330		148320
498		147330		148320		147330		148320
499		148410		148320		148410		148320
500		148410		148320		148410		148320
501		148410		148320		148410		148320
502		138960		148320		138960		148320
503		138960		148320		138960		148320
504		138960		148320		138960		148320
505		156240		150300		156240		150300
506		156240		150300		156240		150300
507		156240		150300		156240		150300
508		148680		150300		148680		150300
509		148680		150300		148680		150300
510		148680		150300		148680		150300
511		157320		150300		157320		150300
512		157320		150300		157320		150300
513		157320		150300		157320		150300
514		149760		150300		149760		150300
515		149760		150300		149760		150300
516		149760		150300		149760		150300
517		150840		150300		150840		150300
518		150840		150300		150840		150300
519		150840		150300		150840		150300
520		138960		150300		138960		150300
521		138960		150300		138960		150300
522		138960		150300		138960		150300
523		156240		150300		156240		150300
524		156240		150300		156240		150300
525		156240		150300		156240		150300
526		152190		153180		152190		153180
527		152190		153180		152190		153180
528		152190		153180		152190		153180
529		160830		153180		160830		153180
530		160830		153180		160830		153180
531		160830		153180		160830		153180
532		153270		153180		153270		153180
533		153270		153180		153270		153180
534		153270		153180		153270		153180
535		154350		153180		154350		153180
536		154350		153180		154350		153180
537		154350		153180		154350		153180
538		141120		153180		141120		153180
539		141120		153180		141120		153180
540		141120		153180		141120		153180
541		157590		153180		157590		153180
542		157590		153180		157590		153180
543		157590		153180		157590		153180
544		152190		153180		152190		153180
545		152190		153180		152190		153180
546		152190		153180		152190		153180
547		164340		156060		164340		156060
548		164340		156060		164340		156060
549		164340		156060		164340		156060
550		156780		156060		156780		156060
551		156780		156060		156780		156060
552		156780		156060		156780		156060
553		152010		151560		152010		151560
554		152010		151560		152010		151560
555		152010		151560		152010		151560
556		141480		151560		141480		151560
557		141480		151560		141480		151560
558		141480		151560		141480		151560
559		155250		151560		155250		151560
560		155250		151560		155250		151560
561		155250		151560		155250		151560
562		149040		151560		149040		151560
563		149040		151560		149040		151560
564		149040		151560		149040		151560
565		155340		147060		155340		147060
566		155340		147060		155340		147060
567		155340		147060		155340		147060
568		160920		158940		160920		158940
569		160920		158940		160920		158940
570		160920		158940		160920		158940
571		163350		158940		163350		158940
572		163350		158940		163350		158940
573		163350		158940		163350		158940
574		150120		158940		150120		158940
575		150120		158940		150120		158940
576		150120		158940		150120		158940
577		162090		154440		162090		154440
578		162090		154440		162090		154440
579		162090		154440		162090		154440
580		148680		154440		148680		154440
581		148680		154440		148680		154440
582		148680		154440		148680		154440
583		155340		154440		155340		154440
584		155340		154440		155340		154440
585		155340		154440		155340		154440
586		157770		154440		157770		154440
587		157770		154440		157770		154440
588		157770		154440		157770		154440
589		167490		161820		167490		161820
590		167490		161820		167490		161820
591		167490		161820		167490		161820
592		156960		161820		156960		161820
593		156960		161820		156960		161820
594		156960		161820		156960		161820
595		166230		161820		166230		161820
596		166230		161820		166230		161820
597		166230		161820		166230		161820
598		163170		161820		163170		161820
599		163170		161820		163170		161820
600		163170		161820		163170		161820
601		156330		157320		156330		157320
602		156330		157320		156330		157320
603		156330		157320		156330		157320
604		153270		157320		153270		157320
605		153270		157320		153270		157320
606		153270		157320		153270		157320
607		164340		157320		164340		157320
608		164340		157320		164340		157320
609		164340		157320		164340		157320
610		155610		164700		155610		164700
611		155610		164700		155610		164700
612		155610		164700		155610		164700
613		170730		160200		170730		160200
614		170730		160200		170730		160200
615		170730		160200		170730		160200
616		158670		160200		158670		160200
617		158670		160200		158670		160200
618		158670		160200		158670		160200
619		165330		160200		165330		160200
620		165330		160200		165330		160200
621		165330		160200		165330		160200
622		155520		160200		155520		160200
623		155520		160200		155520		160200
624		155520		160200		155520		160200
625		153090		155700		153090		155700
626		153090		155700		153090		155700
627		153090		155700		153090		155700
628		151110		155700		151110		155700
629		151110		155700		151110		155700
630		151110		155700		151110		155700
631		176220		167580		176220		167580
632		176220		167580		176220		167580
633		176220		167580		176220		167580
634		173160		167580		173160		167580
635		173160		167580		173160		167580
636		173160		167580		173160		167580
637		168570		163080		168570		163080
638		168570		163080		168570		163080
639		168570		163080		168570		163080
640		158760		163080		158760		163080
641		158760		163080		158760		163080
642		158760		163080		158760		163080
643		161730		163080		161730		163080
644		161730		163080		161730		163080
645		161730		163080		161730		163080
646		147960		163080		147960		163080
647		147960		163080		147960		163080
648		147960		163080		147960		163080
649		171720		158580		171720		158580
650		171720		158580		171720		158580
651		171720		158580		171720		158580
652		176400		170460		176400		170460
653		176400		170460		176400		170460
654		176400		170460		176400		170460
655		176310		170460		176310		170460
656		176310		170460		176310		170460
657		176310		170460		176310		170460
658		167400		170460		167400		170460
659		167400		170460		167400		170460
660		167400		170460		167400		170460
661		168570		165960		168570		165960
662		168570		165960		168570		165960
663		168570		165960		168570		165960
664		152100		165960		152100		165960
665		152100		165960		152100		165960
666		152100		165960		152100		165960
667		170820		165960		170820		165960
668		170820		165960		170820		165960
669		170820		165960		170820		165960
670		169650		165960		169650		165960
671		169650		165960		169650		165960
672		169650		165960		169650		165960
673		179460		173340		179460		173340
674		179460		173340		179460		173340
675		179460		173340		179460		173340
676		173250		173340		173250		173340
677		173250		173340		173250		173340
678		173250		173340		173250		173340
679		176220		173340		176220		173340
680		176220		173340		176220		173340
681		176220		173340		176220		173340
682		164700		173340		164700		173340
683		164700		173340		164700		173340
684		164700		173340		164700		173340
685		173970		173340		173970		173340
686		173970		173340		173970		173340
687		173970		173340		173970		173340
688		171900		173340		171900		173340
689		171900		173340		171900		173340
690		171900		173340		171900		173340
691		180810		173340		180810		173340
692		180810		173340		180810		173340
693		180810		173340		180810		173340
694		175410		176220		175410		176220
695		175410		176220		175410		176220
696		175410		176220		175410		176220
697		183330		176220		183330		176220
698		183330		176220		183330		176220
699		183330		176220		183330		176220
700		162360		176220		162360		176220
701		162360		176220		162360		176220
702		162360		176220		162360		176220
703		179730		176220		179730		176220
704		179730		176220		179730		176220
705		179730		176220		179730		176220
706		175410		176220		175410		176220
707		175410		176220		175410		176220
708		175410		176220		175410		176220
709		180810		176220		180810		176220
710		180810		176220		180810		176220
711		180810		176220		180810		176220
712		179010		176220		179010		176220
713		179010		176220		179010		176220
714		179010		176220		179010		176220
715		181440		179460		181440		179460
716		181440		179460		181440		179460
717		181440		179460		181440		179460
718		168570		179460		168570		179460
719		168570		179460		168570		179460
720		168570		179460		168570		179460
721		183690		179460		183690		179460
722		183690		179460		183690		179460
723		183690		179460		183690		179460
724		179370		179460		179370		179460
725		179370		179460		179370		179460
726		179370		179460		179370		179460
727		186570		179460		186570		179460
728		186570		179460		186570		179460
729		186570		179460		186570		179460
730		174960		179460		174960		179460
731		174960		179460		174960		179460
732		174960		179460		174960		179460
733		183690		179460		183690		179460
734		183690		179460		183690		179460
735		183690		179460		183690		179460
736		172530		182700		172530		182700
737		172530		182700		172530		182700
738		172530		182700		172530		182700
739		187650		182700		187650		182700
740		187650		182700		187650		182700
741		187650		182700		187650		182700
742		185130		182700		185130		182700
743		185130		182700		185130		182700
744		185130		182700		185130		182700
745		186480		182700		186480		182700
746		186480		182700		186480		182700
747		186480		182700		186480		182700
748		179370		182700		179370		182700
749		179370		182700		179370		182700
750		179370		182700		179370		182700
751		185490		182700		185490		182700
752		185490		182700		185490		182700
753		185490		182700		185490		182700
754		172530		182700		172530		182700
755		172530		182700		172530		182700
756		172530		182700		172530		182700
757		192960		185580		192960		185580
758		192960		185580		192960		185580
759		192960		185580		192960		185580
760		184590		185580		184590		185580
761		184590		185580		184590		185580
762		184590		185580		184590		185580
763		190440		185580		190440		185580
764		190440		185580		190440		185580
765		190440		185580		190440		185580
766		184680		185580		184680		185580
767		184680		185580		184680		185580
768		184680		185580		184680		185580
769		187650		185580		187650		185580
770		187650		185580		187650		185580
771		187650		185580		187650		185580
772		175680		185580		175680		185580
773		175680		185580		175680		185580
774		175680		185580		175680		185580
775		188910		185580		188910		185580
776		188910		185580		188910		185580
777		188910		185580		188910		185580
778		189000		188820		189000		188820
779		189000		188820		189000		188820
780		189000		188820		189000		188820
781		196200		188820		196200		188820
782		196200		188820		196200		188820
783		196200		188820		196200		188820
784		187290		188820		187290		188820
785		187290		188820		187290		188820
786		187290		188820		187290		188820
787		194760		188820		194760		188820
788		194760		188820		194760		188820
789		194760		188820		194760		188820
790		173790		188820		173790		188820
791		173790		188820		173790		188820
792		173790		188820		173790		188820
793		191160		188820		191160		188820
794		191160		188820		191160		188820
795		191160		188820		191160		188820
796		190800		188820		190800		188820
797		190800		188820		190800		188820
798		190800		188820		190800		188820
799		198810		192060		198810		192060
800		198810		192060		198810		192060
801		198810		192060		198810		192060
802		194400		192060		194400		192060
803		194400		192060		194400		192060
804		194400		192060		194400		192060
805		192870		192060		192870		192060
806		192870		192060		192870		192060
807		192870		192060		192870		192060
808		180000		192060		180000		192060
809		180000		192060		180000		192060
810		180000		192060		180000		192060
811		195120		192060		195120		192060
812		195120		192060		195120		192060
813		195120		192060		195120		192060
814		191250		192060		191250		192060
815		191250		192060		191250		192060
816		191250		192060		191250		192060
817		201960		192060		201960		192060
818		201960		192060		201960		192060
819		201960		192060		201960		192060
820		193590		196200		193590		196200
821		193590		196200		193590		196200
822		193590		196200		193590		196200
823		200160		196200		200160		196200
824		200160		196200		200160		196200
825		200160		196200		200160		196200
826		185040		196200		185040		196200
827		185040		196200		185040		196200
828		185040		196200		185040		196200
829		200610		196200		200610		196200
830		200610		196200		200610		196200
831		200610		196200		200610		196200
832		197640		196200		197640		196200
833		197640		196200		197640		196200
834		197640		196200		197640		196200
835		197910		196200		197910		196200
836		197910		196200		197910		196200
837		197910		196200		197910		196200
838		195840		196200		195840		196200
839		195840		196200		195840		196200
840		195840		196200		195840		196200
841		203670		199080		203670		199080
842		203670		199080		203670		199080
843		203670		199080		203670		199080
844		189000		199080		189000		199080
845		189000		199080		189000		199080
846		189000		199080		189000		199080
847		205470		199080		205470		199080
848		205470		199080		205470		199080
849		205470		199080		205470		199080
850		197100		199080		197100		199080
851		197100		199080		197100		199080
852		197100		199080		197100		199080
853		202320		199080		202320		199080
854		202320		199080		202320		199080
855		202320		199080		202320		199080
856		197190		199080		197190		199080
857		197190		199080		197190		199080
858		197190		199080		197190		199080
859		204120		199080		204120		199080
860		204120		199080		204120		199080
861		204120		199080		204120		199080
862		195390		203220		195390		203220
863		195390		203220		195390		203220
864		195390		203220		195390		203220
865		206460		203220		206460		203220
866		206460		203220		206460		203220
867		206460		203220		206460		203220
868		203040		203220		203040		203220
869		203040		203220		203040		203220
870		203040		203220		203040		203220
871		208710		203220		208710		203220
872		208710		203220		208710		203220
873		208710		203220		208710		203220
874		200880		203220		200880		203220
875		200880		203220		200880		203220
876		200880		203220		200880		203220
877		207270		203220		207270		203220
878		207270		203220		207270		203220
879		207270		203220		207270		203220
880		191340		203220		191340		203220
881		191340		203220		191340		203220
882		191340		203220		191340		203220
883		211320		206460		211320		206460
884		211320		206460		211320		206460
885		211320		206460		211320		206460
886		208350		206460		208350		206460
887		208350		206460		208350		206460
888		208350		206460		208350		206460
889		211320		206460		211320		206460
890		211320		206460		211320		206460
891		211320		206460		211320		206460
892		207990		206460		207990		206460
893		207990		206460		207990		206460
894		207990		206460		207990		206460
895		205380		206460		205380		206460
896		205380		206460		205380		206460
897		205380		206460		205380		206460
898		194040		206460		194040		206460
899		194040		206460		194040		206460
900		194040		206460		194040		206460
901		212670		206460		212670		206460
902		212670		206460		212670		206460
903		212670		206460		212670		206460
904		210960		209700		210960		209700
905		210960		209700		210960		209700
906		210960		209700		210960		209700
907		218430		209700		218430		209700
908		218430		209700		218430		209700
909		218430		209700		218430		209700
910		206100		209700		206100		209700
911		206100		209700		206100		209700
912		206100		209700		206100		209700
913		212040		209700		212040		209700
914		212040		209700		212040		209700
915		212040		209700		212040		209700
916		197550		209700		197550		209700
917		197550		209700		197550		209700
918		197550		209700		197550		209700
919		213120		209700		213120		209700
920		213120		209700		213120		209700
921		213120		209700		213120		209700
922		214110		209700		214110		209700
923		214110		209700		214110		209700
924		214110		209700		214110		209700
925		217530		213660		217530		213660
926		217530		213660		217530		213660
927		217530		213660		217530		213660
928		213750		213660		213750		213660
929		213750		213660		213750		213660
930		213750		213660		213750		213660
931		216540		213660		216540		213660
932		216540		213660		216540		213660
933		216540		213660		216540		213660
934		202950		213660		202950		213660
935		202950		213660		202950		213660
936		202950		213660		202950		213660
937		216270		213660		216270		213660
938		216270		213660		216270		213660
939		216270		213660		216270		213660
940		213210		213660		213210		213660
941		213210		213660		213210		213660
942		213210		213660		213210		213660
943		220230		213660		220230		213660
944		220230		213660		220230		213660
945		220230		213660		220230		213660
946		218250		217620		218250		217620
947		218250		217620		218250		217620
948		218250		217620		218250		217620
949		221940		217620		221940		217620
950		221940		217620		221940		217620
951		221940		217620		221940		217620
952		206100		217620		206100		217620
953		206100		217620		206100		217620
954		206100		217620		206100		217620
955		220320		217620		220320		217620
956		220320		217620		220320		217620
957		220320		217620		220320		217620
958		215910		217620		215910		217620
959		215910		217620		215910		217620
960		215910		217620		215910		217620
961		213930		208620		213930		208620
962		213930		208620		213930		208620
963		213930		208620		213930		208620
964		207900		208620		207900		208620
965		207900		208620		207900		208620
966		207900		208620		207900		208620
967		225090		221220		225090		221220
968		225090		221220		225090		221220
969		225090		221220		225090		221220
970		220950		221220		220950		221220
971		220950		221220		220950		221220
972		220950		221220		220950		221220
973		223020		221220		223020		221220
974		223020		221220		223020		221220
975		223020		221220		223020		221220
976		225360		221220		225360		221220
977		225360		221220		225360		221220
